scenario,layout,seed,method,reward,power,predicted_reward,test_wind_speed,test_wind_direction,train_wind_speed_min,train_wind_speed_max,train_wind_direction_min,train_wind_direction_max,n_turbines
Scenario 1,HornsRev2_Floris,1,GraphPFN,366.43344712257385,17186.611060941246,364.5171203613281,8.0,270.0,8.0,8.0,270.0,270.0,91
Scenario 2,HornsRev2_Floris,1,Do-Nothing,366.1971244812012,17176.019426271585,,8.0,270.0,4.828213691711426,8.796438217163086,233.4022674560547,332.0008544921875,91
Scenario 2,HornsRev2_Floris,1,Random,363.9161388874054,17072.265691746536,,8.0,270.0,4.828213691711426,8.796438217163086,233.4022674560547,332.0008544921875,91
Scenario 2,HornsRev2_Floris,1,GP,365.69379568099976,17155.488101411473,376.32257080078125,8.0,270.0,4.828213691711426,8.796438217163086,233.4022674560547,332.0008544921875,91
Scenario 2,HornsRev2_Floris,1,TabPFN-Fallback,368.1040234565735,17265.851736105193,388.5889927347503,8.0,270.0,4.828213691711426,8.796438217163086,233.4022674560547,332.0008544921875,91
Scenario 2,HornsRev2_Floris,1,GraphPFN,366.43344712257385,17186.611060941246,376.5419921875,8.0,270.0,4.828213691711426,8.796438217163086,233.4022674560547,332.0008544921875,91
Scenario 1,HornsRev2_Floris,2,Do-Nothing,366.1971244812012,17176.019426271585,,8.0,270.0,8.0,8.0,270.0,270.0,91
Scenario 1,HornsRev2_Floris,2,Random,364.97244811058044,17121.218709578065,,8.0,270.0,8.0,8.0,270.0,270.0,91
Scenario 1,HornsRev2_Floris,2,GP,369.62690687179565,17338.547915240983,369.62214426366677,8.0,270.0,8.0,8.0,270.0,270.0,91
Scenario 1,HornsRev2_Floris,2,TabPFN-Fallback,368.6724944114685,17293.843045312584,366.51149723927176,8.0,270.0,8.0,8.0,270.0,270.0,91
Scenario 1,HornsRev2_Floris,2,GraphPFN,364.96685457229614,17119.85561090408,364.9005126953125,8.0,270.0,8.0,8.0,270.0,270.0,91
Scenario 2,HornsRev2_Floris,2,Do-Nothing,366.1971244812012,17176.019426271585,,8.0,270.0,5.214499473571777,9.515117645263672,230.35888671875,298.5708923339844,91
Scenario 2,HornsRev2_Floris,2,Random,364.97244811058044,17121.218709578065,,8.0,270.0,5.214499473571777,9.515117645263672,230.35888671875,298.5708923339844,91
Scenario 2,HornsRev2_Floris,2,GP,363.54937720298767,17053.042207007293,376.41570075738485,8.0,270.0,5.214499473571777,9.515117645263672,230.35888671875,298.5708923339844,91
Scenario 2,HornsRev2_Floris,2,TabPFN-Fallback,366.87080907821655,17207.584389513708,383.4897231459618,8.0,270.0,5.214499473571777,9.515117645263672,230.35888671875,298.5708923339844,91
Scenario 2,HornsRev2_Floris,2,GraphPFN,364.96685457229614,17119.85561090408,376.63232421875,8.0,270.0,5.214499473571777,9.515117645263672,230.35888671875,298.5708923339844,91
Scenario 1,Ormonde_Floris,0,Do-Nothing,353.1181888580322,5455.143190850181,,8.0,270.0,8.0,8.0,270.0,270.0,30
